title,color,emotion,speech,goal,subgoal,proficiency
Hi,Yellow,2,Hi,Communication,Expressive language,Exposure
I am a baby robot,Pink,1,I am a baby robot,Communication,Expressive language,Understanding
what is your name,Light Blue,0,what is your name,Communication,Receptive language,Understanding
Who is that,Green,4,Who is that,Communication,Speaking up clearly,Demonstrating
Hi there,Purple,2,Hi there,Emotional,Respect,Demonstrating
wow,Yellow,1,wow,Cognitive,Problem solving,Exposure
I do not have a name,Blue,3,I do not have a name,Communication,Receptive language,Exposure
can you give me a name,Yellow,4,can you give me a name,Communication,Receptive language,Understanding
anything you want,Yellow,2,anything you want,Communication,None,Understanding
I like that,Yellow,1,I like that,Communication,Expressive language,Practicing
let me thing about that,Orange,0,let me thing about that,Cognitive,Problem solving,Exposure
I am not sure,Grey,0,I am not sure,Emotional,Respect,Practicing
wow,Green,2,wow,Cognitive,Problem solving,Practicing
can you teach me,Light Blue,0,can you teach me,Communication,None,Exposure
what do you like to do,Yellow,0,what do you like to do,Communication,Expressive language,Exposure
Interesting,Yellow,0,Interesting,Cognitive,Problem solving,Practicing
So cool,Light Blue,0,So cool,Communication,Expressive language,Exposure
Tell me more,Yellow,0,Tell me more,Communication,Expressive language,Practicing
I am still learning,Yellow,0,I am still learning,Communication,Expressive language,Exposure
I do not know,Red,4,I do not know,Communication,Sharing ideas,Exposure
That is scary,Yellow,3,That is scary,Communication,Expressive language,Demonstrating
Sometimes I feel shy,Light Blue,3,Sometimes I feel shy,Communication,Expressive language,Demonstrating
I need space,Blue,4,I need space,Communication,Expressive language,Practicing
can you please back up,Yellow,4,can you please back up,Social,Compliments,Demonstrating
I need a power nap,Light Blue,4,I need a power nap,Social,Compliments,Demonstrating
It was fun meeting you,Light Blue,0,It was fun meeting you,Emotional,Respect,Practicing
