title,color,emotion,speech,goal,subgoal,proficiency
Good morning everyone,Light Blue,Happy,ghghjkgjhg,Communication,Greetings,Exposure
It's great to see you all today.,Yellow,Surprised,It's great to see you all today.,Communication,Expressive language,Understanding
How are you today,Green,Concerned,How are you today,Communication,Receptive language,Understanding
Cool beans,Orange,Neutral,Cool beans,Communication,Speaking up clearly,Demonstrating
Thanks for asking. I'm well too,Purple,Happy,Thanks for asking. I'm well too,Emotional,Empathy,Demonstrating
Okay. Big review day! Lets get started.,Light Blue,Neutral,Okay. Big review day! Lets get started.,Cognitive,Academics,Exposure
Who can tell me what we talked about last week,Light Blue,Neutral,Who can tell me what we talked about last week,Communication,Receptive language,Exposure
that is right,Light Blue,Neutral,that is right,Communication,Receptive language,Understanding
Great,Light Blue,Neutral,Great,Communication,Receptive language,Understanding
I am not sure about that.,Light Blue,Neutral,I am not sure about that.,Communication,Expressive language,Exposure
Good job remembering,Light Blue,Neutral,Good job remembering,Social,Compliments,Exposure
Today we are doing something else.,Light Blue,Neutral,Today we are doing something else.,Cognitive,Problem solving,Exposure
We are going to do old mac donald had a farm yoga,Light Blue,Neutral,We are going to do old mac donald had a farm yoga,Emotional,Respect,Practicing
yoga is stretching into shapes. like animals,Light Blue,Happy,yoga is stretching into shapes. like animals,Cognitive,Problem solving,Practicing
Has anyone heard of this,Light Blue,Concerned,Has anyone heard of this,Communication,Sharing ideas,Exposure
When you make the animal sound. you also do the animal shape,Light Blue,Neutral,When you make the animal sound. you also do the animal shape,Communication,None,Exposure
Can you make the shape of A,Light Blue,Neutral,Can you make the shape of A,Cognitive,Problem solving,Practicing
Let us try together,Light Blue,Neutral,Let us try together,Communication,Expressive language,Exposure
Old Mac donald had a farm,Light Blue,Neutral,Old Mac donald had a farm,Communication,None,Practicing
e i e i o,Light Blue,Neutral,EE eye EE eye oh,Communication,Sharing ideas,Exposure
on that farm he had a,Light Blue,Neutral,on that farm he had a,Cognitive,Following directions,Exposure
dog,Pink,Surprised,dog,Cognitive,Following directions,Exposure
