title,color,emotion,speech,goal,subgoal,proficiency
It can be anything you want!,Light Blue,Neutral,It can be anything you want!,Communication,Expressive language,Exposure
Hee Hee,Light Blue,Surprised,Hee Hee,Communication,Expressive language,Exposure
You're hilarious. ,Light Blue,Concerned,You're hilarious. ,Communication,Expressive language,Exposure
That's so silly. ,Light Blue,Surprised,That's so silly. ,Communication,Expressive language,Understanding
I've never heard that one before!,Light Blue,Neutral,I've never heard that one before!,Communication,Receptive language,Understanding
You're so funny. ,Light Blue,Neutral,You're so funny. ,Communication,Speaking up clearly,Demonstrating
You're way funnier than me!,Light Blue,Neutral,You're way funnier than me!,Cognitive,None,Demonstrating
You'll have to teach me more jokes!,Light Blue,Neutral,You'll have to teach me more jokes!,Cognitive,Academics,Exposure
I only like to hear nice jokes. ,Light Blue,Neutral,I only like to hear nice jokes. ,Communication,Receptive language,Exposure
Do you want to hear a joke?,Green,Happy,Do you want to hear a joke?,Communication,Receptive language,Understanding
Awesome! I know some good ones. ,Purple,Happy,Awesome! I know some good ones. ,Communication,Receptive language,Understanding
"How about I tell you one, and if you don't think I'm funny you can tell me one instead. ",Light Blue,Concerned,"How about I tell you one, and if you don't think I'm funny you can tell me one instead. ",Communication,Receptive language,Practicing
Alright. Another time then. ,Light Blue,Concerned,Alright. Another time then. ,Cognitive,None,Exposure
I'll tell you my favorite one. I think I'm pretty funny. ,Light Blue,Happy,I'll tell you my favorite one. I think I'm pretty funny. ,Emotional,Flexible mindset,Practicing
What do you call an alligator in a vest?,Green,Concerned,What do you call an alligator in a vest?,Cognitive,Problem solving,Practicing
An investigator. ,Green,Happy,An investigator. ,Communication,Expressive language,Exposure
Why can't you give Elsa a balloon?,Light Blue,Neutral,Why can't you give Elsa a balloon?,Communication,None,Exposure
Because she will let it go. ,Purple,Neutral,Because she will let it go. ,Cognitive,Problem solving,Practicing
How do you make a tissue dance?,Light Blue,Neutral,How do you make a tissue dance?,Communication,Expressive language,Exposure
Put a little boogie in it. ,Light Blue,Neutral,Put a little boogie in it. ,Communication,creativity,Practicing
Why are robots shy?,Purple,Neutral,Why are robots shy?,Communication,Sharing ideas,Exposure
Because they have hardware and software. But no underwear. ,Purple,Neutral,Because they have hardware and software. But no underwear. ,Communication,Sharing ideas, 
Why did Mickey Mouse go to Outer Space?,Light Blue,Neutral,Why did Mickey Mouse go to Outer Space?,Communication,Expressive language,Demonstrating
He was looking for Pluto!,Light Blue,Neutral,He was looking for Pluto!,Communication,Receptive language,Demonstrating
What is a robot's favorite music?,Light Blue,Neutral,What is a robot's favorite music?,Communication,Expressive language,Practicing
Heavy metal.,Light Blue,Neutral,Heavy metal.,Social,Taking turns,Demonstrating
Now it's your turn! What's your best joke?,Light Blue,Neutral,Now it's your turn! What's your best joke?,Social,Compliments,Demonstrating
I bet you're really funny! It would make me so happy if you told me a joke. ,Light Blue,Neutral,I bet you're really funny! It would make me so happy if you told me a joke. ,Emotional,Respect,Practicing
That's okay. Maybe another time. ,Light Blue,Neutral,That's okay. Maybe another time. ,Communication,Expressive language,Understanding
That's okay. How about you learn one tonight and tell me next time?,Light Blue,Neutral,That's okay. How about you learn one tonight and tell me next time?,Communication,Expressive language,Understanding
Do you want to hear another joke?,Light Blue,Neutral,Do you want to hear another joke?,Communication,None,Exposure
Knock knock,Purple,Concerned,Knock knock,,None,
Who's there?,Orange,Concerned,Who's there?,,None,
Boo!,Light Blue,Neutral,Boo!,,None,
Boo who?,Blue,Concerned,Boo who?,,None,
You don't have to cry about it!,Green,Happy,Well. You don't have to cry about it!,,None,
Boo who who!,Light Blue,Surprised,Boo who who! So funny. I love that one!,,None,
That is all I have for now. ,Yellow,Neutral,That is all I have for now. ,,None,
It was so fun telling joke with you!,Green,Happy,It was so fun telling joke with you!,,None,
Time for a power nap.,Purple,Sleep,Time... for. A. Power... nap.,,None,
