title,color,emotion,speech,goal,subgoal,proficiency
Would you read a story with me,Orange,0,Would you read a story with me,Communication,None,Exposure
Great. I'm so excited.,Light Blue,1,Great. I'm so excited.,Communication,Expressive language,Exposure
Can a robot get sick ,Light Blue,4,Can a robot get sick ,Communication,None,Exposure
What is a software bug,Light Blue,1,What is a software bug,Communication,Expressive language,Understanding
How are you today,Light Blue,0,How are you today,Communication,Expressive language,Understanding
Do you see a Bug,Light Blue,0,Do you see a Bug,Communication,Expressive language,Demonstrating
I'm not sure about that.,Light Blue,0,I'm not sure about that.,Cognitive,Problem solving,Demonstrating
That's right!,Light Blue,0,That's right!,Cognitive,Problem solving,Exposure
Nice try.,Light Blue,0,Nice try.,Communication,Speaking up clearly,Exposure
Let's turn the page.,Light Blue,2,Let's turn the page.,Communication,Receptive language,Understanding
When Alex wakes up. Robot helps make good choices to get ready for school on time.,Light Blue,2,When Alex wakes up. Robot helps make good choices to get ready for school on time.,Communication,Receptive language,Understanding
What kinds of choices,Light Blue,4,What kinds of choices,Communication,Receptive language,Practicing
What is the weather like,Light Blue,4,What is the weather like,Cognitive,None,Exposure
That sounds like fun. ,Light Blue,2,That sounds like fun. ,Emotional,Respect,Practicing
I wish I could jump in puddles.,Light Blue,3,I wish I could jump in puddles.,Cognitive,Problem solving,Practicing
Robot reminds Alex what to do ,Light Blue,0,Robot reminds Alex what to do ,None,None,None
and also helps Mom remember things! ,Light Blue,0,Robot reminds Alex what to do and also helps Mom remember things! ,Communication,Expressive language,Exposure
What does Robot remind Alex about,Light Blue,0,What does Robot remind Alex about,Communication,Receptive language,Exposure
How does Robot help Mom,Purple,0,How does Robot help Mom,Cognitive,Academics,Practicing
Other kids at school have robots too. they play games. tell stories and more.,Light Blue,0,Other kids at school have robots too. they play games. tell stories and more.,Communication,Expressive language,Exposure
Robots come in all shapes and sizes. with different names and uses.,Light Blue,0, Robots come in all shapes and sizes. with different names and uses.,Communication,None,Practicing
Do you have a robot at home,Purple,0,Do you have a robot at home,Communication,Receptive language,Exposure
What does your robot do,Purple,0,What does your robot do,Communication,Sharing ideas,None
That sounds fun.,Light Blue,2,That sounds fun.,Communication,Sharing ideas,Demonstrating
Maybe I can visit your house someday.,Light Blue,0,Maybe I can visit your house someday.,Communication,Receptive language,Demonstrating
Some of the kids have robots that look exactly like Alex’s robot. ,Light Blue,0,Some of the kids have robots that look exactly like Alex’s robot. ,Communication,Expressive language,Practicing
Each child likes different robot activities. ,Light Blue,0,Each child likes different robot activities. ,Social,Compliments,Demonstrating
Some children play with blocks. some dance or sing. ,Light Blue,0,Some children play with blocks. some dance or sing. ,Social,Compliments,Demonstrating
Robots are very useful.,Light Blue,0,Robots are very useful.,Emotional,Respect,Practicing
Robot Central makes Alex’s robot and all the robots smart and skillful robot friends.,Light Blue,0,Robot Central makes Alex’s robot and all the robots smart and skillful robot friends.,Communication,Expressive language,Understanding
The team works hard to keep things fun ,Light Blue,0,The team works hard to keep things fun ,None,None,None
and make robots useful for everyone.,Light Blue,0,The team works hard to keep things fun and make robots useful for everyone.,Communication,Expressive language,Understanding
Wow. ,Light Blue,1,Wow. ,Communication,Receptive language,Exposure
Is this place like Robot Central,Purple,0,Is this place like Robot Central,Cognitive,Academics,Exposure
I think so too. ,Light Blue,0,I think so too. ,Cognitive,Problem solving,Exposure
