title,color,emotion,speech,goal,subgoal,proficiency
Good morning everyone,Light Blue,2,Good morning everyone,Communication,Greetings,Exposure
It's great to see you all today.,Yellow,1,It's great to see you all today.,Communication,Expressive language,Understanding
How are you today,Green,4,How are you today,Communication,Receptive language,Understanding
Cool beans,Orange,0,Cool beans,Communication,Speaking up clearly,Demonstrating
Thanks for asking. I'm well too,Purple,2,Thanks for asking. I'm well too,Emotional,Empathy,Demonstrating
Okay. Big review day! Lets get started.,Light Blue,0,Okay. Big review day! Lets get started.,Cognitive,Academics,Exposure
Who can tell me what we talked about last week,Light Blue,0,Who can tell me what we talked about last week,Communication,Receptive language,Exposure
that is right,Light Blue,0,that is right,Communication,Receptive language,Understanding
Great,Light Blue,0,Great,Communication,Receptive language,Understanding
I am not sure about that.,Light Blue,0,I am not sure about that.,Communication,Expressive language,Exposure
Good job remembering,Light Blue,0,Good job remembering,Social,Compliments,Exposure
Today we are doing something else.,Light Blue,0,Today we are doing something else.,Cognitive,Problem solving,Exposure
We are going to do old mac donald had a farm yoga,Light Blue,0,We are going to do old mac donald had a farm yoga,Emotional,Respect,Practicing
yoga is stretching into shapes. like animals,Light Blue,2,yoga is stretching into shapes. like animals,Cognitive,Problem solving,Practicing
Has anyone heard of this,Light Blue,4,Has anyone heard of this,Communication,Sharing ideas,Exposure
When you make the animal sound. you also do the animal shape,Light Blue,0,When you make the animal sound. you also do the animal shape,Communication,None,Exposure
Can you make the shape of A,Light Blue,0,Can you make the shape of A,Cognitive,Problem solving,Practicing
Let us try together,Light Blue,0,Let us try together,Communication,Expressive language,Exposure
Old Mac donald had a farm,Light Blue,0,Old Mac donald had a farm,Communication,None,Practicing
e i e i o,Light Blue,0,EE eye EE eye oh,Communication,Sharing ideas,Exposure
on that farm he had a,Light Blue,0,on that farm he had a,Cognitive,Following directions,Exposure
dog,Pink,1,dog,Cognitive,Following directions,Exposure
cat,Yellow,1,cat,Cognitive,Following directions,Exposure
cow,Blue,1,cow,Cognitive,Following directions,Exposure
tree,Orange,1,tree,Cognitive,Following directions,Exposure
frog,Green,1,frog,Cognitive,Following directions,Exposure
horse,Purple,1,horse,Cognitive,Following directions,Exposure
airplane,Red,1,airplane,Cognitive,Following directions,Exposure
warrior,Yellow,1,warrior,Cognitive,Following directions,Exposure
